"ID","PID","Title","keywords"
"B","0","Berlin",""
"BPr","B","Primarstufe",""
"BPrJ1/2","BPr","Jahrgangsstufen 1/2",""
"BJ1/2T1","BPrJ1/2","Themenfeld 'Form und Veränderung'",""
"BJ1/2T1RV","BJ1/2T1","Raumvorstellung entwickeln","figure_and_area; "
"BJ1/2T1KEF","BJ1/2T1","Körper und ebene Figuren","Sphere; Cube; Cuboid; Right_parallelepiped; Triangle; Draw_isosceles_triangle; Quadrilateral;  Know_quadrilateral; Rectangle; Square; Construct_square; Know_circle; Circle; Vertex; Edge; Segment; Point; "
"BJ1/2T1ZB","BJ1/2T1","Zahlbegriff","Number_line; Represent_numbers_on_number_line; Numerical_operation; represent_numbers; solid_number_sense;"
"BJ1/2T1ZD","BJ1/2T1","Zeichnen und darstellen","Construct_isosceles_triangle_using_graduated_ruler_and_compass; Ruler; Graduated_ruler;Construct_isosceles_triangle_using_graduated_ruler_and_compass; Set_square; "
"BJ1/2T1Sy","BJ1/2T1","Symmetrie","Reflection; Construct_completion_of_a_reflected_figure_in_a_reflection_in_a_point; Construct_completion_of_the_reflected_figure_in_a_reflection_in_a_line; Symmetry; Congruent; patterns_and_structures; "
"BJ1/2T2","BPrJ1/2","Themenfeld 'Zahlen und Operationen'",""
"BJ1/2T2ZR100","BJ1/2T2","Zahlenraum bis 100","Number_line; Represent_numbers_on_number_line; Numerical_operation; represent_numbers; solid_number_sense;Represent_approximately_numbers_on_number_line; "
"BJ1/2T2Gl","BJ1/2T2","Gleichungen","Set_up_an_equation_for_a_word_problem"
"BJ1/2T2RO","BJ1/2T2","Rechenoperationen","Addition; Subtraction; Multiplication; Division; fundamental_arithmetic_operations; "
"BJ1/2T3","BPrJ1/2","Themenfeld 'Größen und Messen'",""
"BJ1/2T3GE","BJ1/2T3","Größen und Einheiten","Use_representations; magnitudes_and_measurements; Magnitude; Apply_mathematics_in_a_wide_range_of_contexts; Unit; Calculate_by_changing_units;  Use_units_in_calculations_of_magnitudes; Length; Time; Mass; "
"BJ1/2T3M","BJ1/2T3","Messen","magnitudes_and_measurements"
"BJ1/2T4","BPrJ1/2","Themenfeld 'Daten und Zufall'",""
"BJ1/2T4DE","BJ1/2T4","Daten erfassen","Data; Data_collect; Collect_data; Read_data_from_table; Use_data_from_table; "
"BJ1/2T4TBD","BJ1/2T4","Tabelle und Bilder und Diagramme","Represent_data_in_a_diagram; Represent_dataRead_data; Table; Table_with_several_columns; Use_data_from_table"
"BPrJ3/4","BPr","Jahrgangsstufen 3/4",""
"BJ3/4T1","BPrJ3/4","Themenfeld 'Form und Veränderung'",""
