"ID","PID","Title","Keywords"
"hh","0","Hamburg ",""
"","","",""
"hhhr","hh","Haupt- und Realschule",""
"","","",""
"hhhr5/6","hhhr","Jahrgangsstufe 5/6",""
"hhhr5/6-1","hhhr5/6","5/6-1 Zahlenbereiche: Von natürlichen Zahlen und vom Teilen und Aufteilen",""
"hhhr5/6-1a","hhhr5/6-1","den Stellenwert von Ziffern beim Schreiben von natürlichen und dezimalen Zahlen kennen","Know_place_value_of_digits_in_the_writing_of_natural_or_decimal_number"
"hhhr5/6-1b","hhhr5/6-1","die Hälfte und das Doppelte und ein Drittel und.. von natürlichen und gebrochenen Zahlen im Kopf berechnen","Calculate_mentally_double_half_triple_third_of_natural_and_decimal_numbers"
"hhhr5/6-1c","hhhr5/6-1","den Quotient zweier natürlichen Zahlen auf den Zahlenstrahl darstellen","Represent_quotient_of_two_natural_numbers_on_number_line"
"hhhr5/6-1d","hhhr5/6-1","negative Zahlen (im Kontext) ordnen","ToOrder_negative_numbers_in_context"
"hhhr5/6-1e","hhhr5/6-1","zwei Brüche vergleichen","Compare_two_numbers_given_as_fractions"
"hhhr5/6-1f","hhhr5/6-1","Summen von Brüchen berechnen","Calculate_sum_of_fractions"
"hhhr5/6-1g","hhhr5/6-1","Subtraktion von Brüchen berechnen","Calculate_subtraction_of_fractions"
"hhhr5/6-2","hhhr5/6","5/6-2 Größen: Vergleichen und Messen",""
"hhhr5/6-2a","hhhr5/6-2","Größen und Messen","magnitudes_and_measurements"
"hhhr5/6-2b","hhhr5/6-2","den Dreisatz verwenden","Use_rule_of_three"
"hhhr5/6-2c","hhhr5/6-2","Summen von Brüchen berechnen","Calculate_sum_of_fractions"
"hhhr5/6-2d","hhhr5/6-2","Subtraktion von Brüchen berechnen","Calculate_subtraction_of_fractions"
"hhhr5/6-2e","hhhr5/6-2","zusammengesetzte Größen verstehen","Understand_compound_measures"
"hhhr5/6-2f","hhhr5/6-2","das Zeichen einer Einheit zur Berechnung von Größen bei linearen Aufgaben verwenden","Use_image_of_unit_in_linear_problems_to_calculate_a_magnitude"
"hhhr5/6-3","hhhr5/6","5/6-3 Von Flächen und Körpern",""
"hhhr5/6-3a","hhhr5/6-3","Eigenschaften von ebenen Formen","Plane_Configuration_properties"
"hhhr5/6-3b","hhhr5/6-3","grundlegende Geometrie zur Beschreibung der Welt verwenden","Use_basic_geometry_to_describe_real_world"
"hhhr5/6-3c","hhhr5/6-3","grundlegende Beziehungen und Eigenschaften von ebenen Formen kennen","Know_basic_relations_in_2D"
"hhhr5/6-3d","hhhr5/6-3","grundlegende Beziehungen und Eigenschaften von Körpern kennen",""
"hhhr5/6-3e","hhhr5/6-3","Anfertigen von Netzen und Schrägbildern und Modellen ausgewählter Körper",""
"hhhr5/6-3f","hhhr5/6-3","maßstäbliches Zeichnen",""
"hhhr5/6-4","hhhr5/6","5/6-4 Daten und Zahlen: Wir befragen uns und lernen uns kennen",""
"hhhr5/6-4a","hhhr5/6-4","Daten","Data"
"hhhr5/6-4b","hhhr5/6-4","Daten sammeln","Data_collect"
"hhhr5/6-4c","hhhr5/6-4","graphische Darstellung von Daten","Graphical_display_of_data"
"hhhr5/6-4d","hhhr5/6-4","schätzen","Estimate_measure"
"hhhr5/6-4e","hhhr5/6-4","Situationen durch Verwendung von Symbolen und Worten und Diagramme mathematisch beschreiben","Describe_situations_using_symbols_words_and_diagrams"
"hhhr5/6-4f","hhhr5/6-4","auf eine aussagekräftigen Zahl runden","Estimate_by_rouding_to_one_significant_figure"
"hhhr5/6-4g","hhhr5/6-4","Daten sammeln","Collect_data"
"hhhr5/6-4h","hhhr5/6-4","Daten in einer Tabelle darstellen","Represent_data_in_a_table"
"hhhr5/6-4i","hhhr5/6-4","Daten in einem Diagramm darstellen","Represent_data_in_a_diagram"
"hhhr5/6-4j","hhhr5/6-4","Daten (graphisch) darstellen","Represent_data"
"hhhr5/6-4k","hhhr5/6-4","das arithmetische Mittel einer Gruppe von Daten schätzen","Estimate_mean_of_data_set"
"hhhr5/6-4l","hhhr5/6-4","Daten analysieren","Analyze_data"
"hhhr5/6-5","hhhr5/6","5/6-5 Vom Teilen und Aufteilen – Brüche",""
"hhhr5/6-5a","hhhr5/6-5","Bruch","Fraction"
"hhhr5/6-5b","hhhr5/6-5","den Quotient zweier natürlichen Zahlen auf den Zahlenstrahl darstellen","Represent_quotient_of_two_natural_numbers_on_number_line"
"hhhr5/6-5c","hhhr5/6-5","zwei Brüche vergleichen","Compare_two_numbers_given_as_fractions"
"hhhr5/6-5d","hhhr5/6-5","Summen von Brüchen berechnen","Calculate_sum_of_fractions"
"hhhr5/6-5e","hhhr5/6-5","Subtraktion von Brüchen berechnen","Calculate_subtraction_of_fractions"
"hhhr5/6-5f","hhhr5/6-5","Rechnen mit Dezimalbrüchen",""
"hhhr5/6-5g","hhhr5/6-5","Überschlagsrechnungen durchführen",""
"hhhr5/6-6","hhhr5/6","5/6-6 Beziehung im Raum – Von Flächen und Körpern",""
"hhhr5/6-6a","hhhr5/6-6","einfache Flächenberechnung","Simplecalculationofarea"
"hhhr5/6-6b","hhhr5/6-6","Fläche","Area"
"hhhr5/6-6c","hhhr5/6-6","Umfang","Perimeter"
"hhhr5/6-6d","hhhr5/6-6","Flächen berechnen","Calculate_area"
"hhhr5/6-6e","hhhr5/6-6","die Formel für den Flächeninhalt eines Rechtecks verstehen","Understand_formula_of_area_of_rectangle"
"hhhr5/6-6f","hhhr5/6-6","wissen und wie die Fläche eines Quadrats berechnet wird","Know_area_of_square"
