"ID","PID","Title","Keywords"
"chh","0","Hessen",""
"chhgym","chh","Gymnasium",""
"chhrea","chh","Realschule",""
"chhhau","chh","Hauptschule",""
"chhgymk5","chhgym","Klasse 5",""
"chhgymk6","chhgym","Klasse 6",""
"chhgymk7","chhgym","Klasse 7",""
"chhgymk8","chhgym","Klasse 8",""
"chhgymk9","chhgym","Klasse 9",""
"chhgymk10","chhgym","Klasse 10",""
"chhgymk11","chhgym","Klasse 11",""
"chhgymk12","chhgym","Klasse 12",""
"chhgymk13","chhgym","Klasse 13",""
"chhgymk51.1","chhgymk5","Zahlbereiche","Understand_that_random_processes_are_unpredictable; Natural_number; Simple_event; Complex_event; Organize; ToOrder; Know_place_value_of_digits_in_the_writing_of_natural_or_decimal_number; Use_place_value_of_digits_in_the_writing_of_a_natural_or_decimal_number; Absolute_frequency; Data_collect; Representativity; Numerical_operation; fundamental_arithmetic_operations; solid_number_sense"
"chhgymk51.2","chhgymk5","Geometrie","Know_volume_of_cube; Calculate_area_of_lateral_surface_of_cylind; Prism; Simple_solid_objects; Cone; Pyramid; Cube; Net_of_a_cylinder; Basic_properties_of_triangles; Basic_properties_of_quadrangles; Basic_planar_geometry_topics; Cartesian_coordinates; Coordinates_of_a_point; Set_square; Compass; Calculate_volume_of_right_prism; Know_volume_of_right_cylinde; Construct_perpendicular_bisector; Know_perpendicular_bisector; Know_parallelism_of_edges; Parallel"
"chhgymk51.3","chhgymk5","Größen","Word_problem; Calculate_lengths; Compare_lengths; Calculate_change_of_units_for_mass"
"chhgymk61.1","chhgymk6","Zahlbereiche","Know_divisibility_criteria_by_2_5_10; Use_divisibility_criteria_by_2_5_10; Use_divisibility_criteria_by_3_4_9; Know_divisibility_criteria_by_3_4_9; Compare_two_numbers_given_as_fractions; Interpret_fraction_a_over_b_as_quotient_of_a_by_b; Fraction; Calculate_division_of_fractions; Calculate_product_of_two_positive_fractions; Calculate_subtraction_of_fractions; Justify_procedure_for_calculating_product_of_fractions; Calculate_on_fractions; Know_that_every_decimal_number_can_be_written_as_quotient; Interpret_fraction_a_over_b_as_quotient_of_a_by_b"
"chhgymk61.2","chhgymk6","Geometrie","Calculate_angles; CorrespondingAngle; ToMeasure_with_protractor_an_angle; Know_angle_bisector; Use_protractor; Use_language_associated_with_angles; CorrespondingAngle; Inscribed_angle; Right_angle; ObtuseAngle; Know_invariant_properties_in_a_reflection_in_a_line; Use_reflection_in_a_line_properties; Reflection_in_a_point; Reflection_in_a_line; Rotation; Translation; Understand_formula_of_area_of_rectangle; Formula_for_area; "
"chhgymk71.1","chhgymk7","Größen/ Funktionen","Represent_in_coordinate_systems; Use_rule_of_three; Understand_inverse_proportion; Apply_percentage; Use_equivalence_between_decimals_fractions_percentages; Describe_proportions_by_simple_fractions_or_percentages; Know_meaning_of_percentage; Use_percentage_in_simple_cases; "
"chhgymk71.2","chhgymk7","Zahlbereiche","ToOrder_negative_numbers_in_context; Rational_Number; Solve_linear_equation_with_whole_number_coefficients; Manipulate_equations; Equations;"
"chhgymk71.3","chhgymk7","Geometrie","understand180IsSumOfAnglesOfTriangle; CorrespondingAngle; Right_angle; Angle; AcuteAngle; ObtuseAngle; understand180IsSumOfAnglesOfTriangle; ConstructionRecipe; Calculate_areas; "
"chhgymk71.4","chhgymk7","Stochastik","use_Laplace_rule; Laplace_rule; Compare_outcomes_of_experiments_using_relative_frequency; Probability_distribution"
"chhgymk81.1","chhgymk8","Algebra/ Funktionen","Expand_algebraic_expression; CAS; Use_binomial_identity_to_transform_algebraic_expression; interpret_a_plot_as_a_function; Analyze_growth_in_functions; Intersections_with_the_axis; "
"chhgymk81.1","chhgymk8","Geometrie","Construct_inscribed_circle_in_triangle; Know_intersection_of_three_angle_bisectors_in_triangle; Calculate_perimeter; Circumcircle; Orthocenter; Know_Thales_Circle_theorem; Calculate_volume_of_right_prism; Secant; Tangent; "
"chhgymk81.1","chhgymk8","Größen/ Algebra","Percentage"
"chhgymk81.1","chhgymk8","Stochastik","calculate_probability_from_simulation; Simulation"
"chhgymk91.1","chhgymk9","Algebra","Solve_linear_inequation_with_whole_number_coefficients; Linear_inequation_with_one_variable"
"chhgymk91.2","chhgymk9","Zahlbereiche","Calculate_with_square_roots; Calculate_square_of_square_root; Square_root; Take_root_of_function; Calculate_square_root_of_positive_number_with_calculator; "
"chhgymk91.3","chhgymk9","Funktionen ","Quadratic_function; Quadratic_Equation; Parabola; Equation_of_a_parabola; "
"chhgymk91.4","chhgymk9","Geometrie 1","Use_similarity; Understand_similarity; Use_angle_conservation_in_enlargement; use_intercepttheorem_to_check_relations; TriangleInterceptTheorem; Know_Intercept_Theorem_converse; Enlargement"
"chhgymk91.5","chhgymk9","Geometrie 2","Know_Pythagoras_theorem; Use_Pythagoras_theorem_to_check_relations; Understand_Pythagoras_theorem; PythagorasTheorem; "
"chhgymk91.6","chhgymk9","Geometrie 3","Circle; Use_formula_of_circle_area; Use_formula_circle_length; Calculate_area_of_disc_with_given_radius; "
