"id","pid","title","keys"
"BW_0",0,"Jan van der Craats, Basisboek Wiskunde",
"BW_1","BW_0","Rekenen met gehele getallen","Integer, Natural_number"
"BW_1.1","BW_1","Optellen, aftrekken en vermenigvuldigen","Addition, Substraction, Multiplication"
"BW_1.2","BW_1","Delen met rest","Division, Remainder"
"BW_1.3","BW_1","Delers en priemgetallen",
"BW_1.4","BW_1","De ggd en het kgv",
"BW_10","BW_0","Tweedegraadsvergelijkingen","Quadratic_Equation"
"BW_10.1","BW_10","Tweedegraadsvergelijkingen",
"BW_10.2","BW_10","Kwadraatafsplitsen",
"BW_10.3","BW_10","De abc-formule",
"BW_11","BW_0","Stelsels eerstegraadsvergelijkingen",
"BW_11.1","BW_11","Twee vergelijkingen met twee onbekenden","System_with_two_equations_and_two_unknowns"
"BW_11.2","BW_11","Drie vergelijkingen met drie onbekenden",
"BW_12","BW_0","Lijnen in het vlak","Straight_Line"
"BW_12.1","BW_12","De vergelijking van een lijn in het vlak",
"BW_12.2","BW_12","De vergelijking van de lijn door twee punten",
"BW_12.3","BW_12","Het snijpunt van twee lijnen",
"BW_13","BW_0","Afstanden en hoeken",
"BW_13.1","BW_13","Afstand en middelloodlijn","Perpendicular_Bisector"
"BW_13.2","BW_13","De normaalvector van een lijn",
"BW_13.3","BW_13","Loodrechte stand van lijnen en vectoren",
"BW_13.4","BW_13","Het inprodukt",
"BW_14","BW_0","Cirkels","Circle"
"BW_14.1","BW_14","Cirkelvergelijkingen",
"BW_14.2","BW_14","De snijpunten van een cirkel en een lijn",
"BW_14.3","BW_14","De snijpunten van twee cirkels",
"BW_14.4","BW_14","Raaklijnen aan een cirkel","Tangent_Line"
"BW_15","BW_0","Meetkunde in de ruimte",
"BW_15.1","BW_15","Coordinaten en inprodukt in de ruimte","Coordinates"
"BW_15.2","BW_15","Vlakken en normaalvectoren","Plane, Normal_Vector"
"BW_15.3","BW_15","Evenwijdige en elkaar snijdende vlakken",
"BW_15.4","BW_15","De drievlakkenstelling",
"BW_15.5","BW_15","Bollen en raakvlakken","Sphere"
"BW_16","BW_0","Functies en grafieken","Function, Plots"
"BW_16.1","BW_16","Eerstegraadsfuncties","Linear_function"
"BW_16.2","BW_16","Tweedegraads functies en parabolen","Parabola"
"BW_16.3","BW_16","Snijpunten van grafieken","Intersection, Graph"
"BW_16.4","BW_16","Gebroken lineaire functies",
"BW_16.5","BW_16","Machtsfuncties, wortelfuncties en de absolute-waardefunctie",
"BW_16.6","BW_16","Polynomen","Polynomial_function"
"BW_16.7","BW_16","Rationale functies","Rational_Function"
"BW_17","BW_0","Goniometrie","Angle_fig"
"BW_17.1","BW_17","Hoekmeting","Measure"
"BW_17.2","BW_17","De sinus, de cosinus en de tangens","Sine, Cosine, Tangent"
