"ID","PID","Titel","Sleutelwoorden"
"root","0","Exameneisen VWO C (2010)",
"A","root","Domein A: Vaardigheden",
"A1","A","Subdomein A1: Informatievaardigheden",
"A2","A","Subdomein A2: Onderzoeksvaardigheden",
"A3","A","Subdomein A3: Technisch-instrumentele vaardigheden",
"A4","A","Subdomein A4: Orientatie op studie en beroep",
"A5","A","Subdomein A5: Algebra&iuml;sche vaardigheden",
"Bg","root","Domein Bg: Functies en grafieken",
"Bg1","Bg","Subdomein Bg1: Standaardfuncties",
"Bg2","Bg","Subdomein Bg2: Functies, grafieken, vergelijkingen en ongelijkheden",
"Cg","root","Domein Cg: Discrete analyse",
"Cg1","Cg","Subdomein Cg1: Veranderingen",
"Cg2","Cg","Subdomein Cg2: Rijen en recurrente betrekkingen",
"Eg","root","Domein Eg: Combinatoriek en kansrekening",
"Eg1","Eg","Subdomein Eg1: Combinatoriek",
"Eg2","Eg","Subdomein Eg2: Kansen",
"Eg3","Eg","Subdomein Eg3: Rekenen met kansen",
"Eg4","Eg","Subdomein Eg4: Speciale discrete verdelingen",
"Ea","root","Domein Ea: Grafen en matrices",
"Ea1","Ea","Subdomein Ea1: Grafen",
"Ea2","Ea","Subdomein Ea2: Matrices",
"Fa","root","Domein Fa: Statistiek en kansrekening",
"Fa1","Fa","Subdomein Fa1: Populatie en steekproef",
"Fa2","Fa","Subdomein Fa2: Ordenen, verwerken en samenvatten van statistische gegevens",
"Fa3","Fa","Subdomein Fa3: Kansverdelingen",
