"ID","PID","Titel","Sleutelwoorden"
"MWhavoA_0","0","Moderne Wiskunde havo A1",
"MWhavoA_1","MWhavoA_0","Rekenen",
"MWhavoA_1.1","MWhavoA_1","Breuken en decimale getallen",
"MWhavoA_1.2","MWhavoA_1","Verhoudingen",
"MWhavoA_1.3","MWhavoA_1","Procenten",
"MWhavoA_1.4","MWhavoA_1","Tijden",
"MWhavoA_1.5","MWhavoA_1","Standaardvorm",
"MWhavoA_2","MWhavoA_0","Formules en de rekenmachine",
"MWhavoA_2.1","MWhavoA_2","De rekenmachine",
"MWhavoA_2.2","MWhavoA_2","Vensterinstelling kiezen",
"MWhavoA_2.3","MWhavoA_2","Oplossingen benaderen",
"MWhavoA_2.4","MWhavoA_2","Maxima en minima",
"MWhavoA_2.5","MWhavoA_2","Stijgen en dalen",
"MWhavoA_2.6","MWhavoA_2","Toenamediagrammen",
"MWhavoA_2.7","MWhavoA_2","Gemengde opdrachten",
"MWhavoA_3","MWhavoA_0","Systematisch tellen",
"MWhavoA_3.1","MWhavoA_3","Boomdiagrammen maken",
"MWhavoA_3.2","MWhavoA_3","Mogelijkheden tellen",
"MWhavoA_3.3","MWhavoA_3","Routes in een rooster",
"MWhavoA_3.4","MWhavoA_3","Kiezen uit twee mogelijkheden",
"MWhavoA_3.5","MWhavoA_3","Tellen in een rooster",
"MWhavoA_3.6","MWhavoA_3","Gemengde opdrachten",
"MWhavoA_4","MWhavoA_0","Kansen",
"MWhavoA_4.1","MWhavoA_4","Theoretische kansen",
"MWhavoA_4.2","MWhavoA_4","Kansen bij de takken",
"MWhavoA_4.3","MWhavoA_4","Kansen berekenen",
"MWhavoA_4.4","MWhavoA_4","Kansen en roosters",
"MWhavoA_4.5","MWhavoA_4","Simuleren van kansen",
"MWhavoA_4.6","MWhavoA_4","Gemengde opdrachten",
"MWhavoA_5","MWhavoA_0","Tabellen, grafieken en formules",
"MWhavoA_5.1","MWhavoA_5","Grafieken tekenen",
"MWhavoA_5.2","MWhavoA_5","Interpoleren",
"MWhavoA_5.3","MWhavoA_5","Extrapoleren",
"MWhavoA_5.4","MWhavoA_5","Trend",
"MWhavoA_5.5","MWhavoA_5","Combineren",
"MWhavoA_5.6","MWhavoA_5","Gemengde opdrachten",
"MWhavoA_6","MWhavoA_0","Formules maken",
"MWhavoA_6.1","MWhavoA_6","Lineaire formules maken",
"MWhavoA_6.2","MWhavoA_6","Verschillende soorten groei",
"MWhavoA_6.3","MWhavoA_6","Exponentiele formules maken",
"MWhavoA_6.4","MWhavoA_6","Procentuele groei",
"MWhavoA_6.5","MWhavoA_6","Verdubbelen en halveren",
"MWhavoA_6.6","MWhavoA_6","Gemengde opdrachten",
"MWhavoA_7","MWhavoA_0","Statistische verwerking",
"MWhavoA_7.1","MWhavoA_7","Steekproeven",
"MWhavoA_7.2","MWhavoA_7","Statistische gegevens weergeven",
"MWhavoA_7.3","MWhavoA_7","Klassenindeling",
"MWhavoA_7.4","MWhavoA_7","Cumulatieve verdelingen",
"MWhavoA_7.5","MWhavoA_7","Centrummaten",
"MWhavoA_7.6","MWhavoA_7","Spreidingsmaten",
"MWhavoA_7.7","MWhavoA_7","Gemiddelde en standaardafwijking",
"MWhavoA_7.8","MWhavoA_7","Gemengde opdrachten",
"MWhavoA_8","MWhavoA_0","De normale verdeling",
"MWhavoA_8.1","MWhavoA_8","Indelingen in klassen",
"MWhavoA_8.2","MWhavoA_8","Klokvormige verdelingen",
"MWhavoA_8.3","MWhavoA_8","Normaal verdeeld?",
"MWhavoA_8.4","MWhavoA_8","Verfijnen",
"MWhavoA_8.5","MWhavoA_8","Percentages berekenen",
"MWhavoA_8.6","MWhavoA_8","De grenswaarde opzoeken",
"MWhavoA_8.7","MWhavoA_8","Onbekend gemiddelde of onbekende standaarddeviatie",
"MWhavoA_8.8","MWhavoA_8","Gemengde opdrachten",
