"ID","PID","Titel","Sleutelwoorden"
"MWhavoB_0","0","Moderne Wiskunde havo B1",
"MWhavoB_1","MWhavoB_0","Functies en de rekenmachine",
"MWhavoB_1.1","MWhavoB_1","Plotten, schetsen en tekenen",
"MWhavoB_1.2","MWhavoB_1","Functie en functiewaarde",
"MWhavoB_1.3","MWhavoB_1","Soorten grafieken",
"MWhavoB_1.4","MWhavoB_1","Venster instellen",
"MWhavoB_1.5","MWhavoB_1","Randpunten en asymptoten",
"MWhavoB_1.6","MWhavoB_1","Domein en bereik",
"MWhavoB_1.7","MWhavoB_1","Gemengde opdrachten",
"MWhavoB_2","MWhavoB_0","Algebra of rekenmachine",
"MWhavoB_2.1","MWhavoB_2","Oplossen met de rekenmachine",
"MWhavoB_2.2","MWhavoB_2","Oplossen met algebra",
"MWhavoB_2.3","MWhavoB_2","Kwadratische vergelijkingen",
"MWhavoB_2.4","MWhavoB_2","Bereken of bereken exact",
"MWhavoB_2.5","MWhavoB_2","Wortelvergelijkingen oplossen",
"MWhavoB_2.6","MWhavoB_2","Ongelijkheden",
"MWhavoB_2.7","MWhavoB_2","Gemengde opdrachten",
"MWhavoB_3","MWhavoB_0","Exponentiele functies",
"MWhavoB_3.1","MWhavoB_3","Negatieve exponenten",
"MWhavoB_3.2","MWhavoB_3","Gebroken exponenten",
"MWhavoB_3.3","MWhavoB_3","Rekenen met groeifactoren",
"MWhavoB_3.4","MWhavoB_3","Vergelijkingen en ongelijkheden",
"MWhavoB_3.5","MWhavoB_3","Gemengde opdrachten",
"MWhavoB_4","MWhavoB_0","De afgeleide",
"MWhavoB_4.1","MWhavoB_4","Toenamediagrammen",
"MWhavoB_4.2","MWhavoB_4","Gemiddelde verandering",
"MWhavoB_4.3","MWhavoB_4","Hellingen benaderen",
"MWhavoB_4.4","MWhavoB_4","Differentiaalquotienten",
"MWhavoB_4.5","MWhavoB_4","De afgeleide functie",
"MWhavoB_4.6","MWhavoB_4","Regels voor differentieren",
"MWhavoB_4.7","MWhavoB_4","Gemengde opdrachten",
"MWhavoB_5","MWhavoB_0","Tekenen en zien",
"MWhavoB_5.1","MWhavoB_5","Tekeningen maken",
"MWhavoB_5.2","MWhavoB_5","Aanzichten en uitslagen",
"MWhavoB_5.3","MWhavoB_5","Doorsneden",
"MWhavoB_5.4","MWhavoB_5","Doorsneden tekenen",
"MWhavoB_5.5","MWhavoB_5","Op ware grootte",
"MWhavoB_5.6","MWhavoB_5","Gemengde opdrachten",
"MWhavoB_6","MWhavoB_0","Oppervlakte en inhoud",
"MWhavoB_6.1","MWhavoB_6","Balken, prisma's en cilinders",
"MWhavoB_6.2","MWhavoB_6","Piramiden en kegels",
"MWhavoB_6.3","MWhavoB_6","Bollen",
"MWhavoB_6.4","MWhavoB_6","Cilinder- en kegelmantel",
"MWhavoB_6.5","MWhavoB_6","Vergroten of verkleinen",
"MWhavoB_6.6","MWhavoB_6","Gemengde opdrachten",
"MWhavoB_7","MWhavoB_0","Logaritmische functies",
"MWhavoB_7.1","MWhavoB_7","Vermenigvuldigingstijden",
"MWhavoB_7.2","MWhavoB_7","Logaritmen",
"MWhavoB_7.3","MWhavoB_7","Logaritmen berekenen",
"MWhavoB_7.4","MWhavoB_7","Logaritmische functies",
"MWhavoB_7.5","MWhavoB_7","Rekenregels voor logaritmen",
"MWhavoB_7.6","MWhavoB_7","Vergelijkingen en ongelijkheden",
"MWhavoB_7.7","MWhavoB_7","Gemengde opdrachten",
"MWhavoB_8","MWhavoB_0","Periodieke functies",
"MWhavoB_8.1","MWhavoB_8","Periodieke beweging",
"MWhavoB_8.2","MWhavoB_8","Graden en radialen",
"MWhavoB_8.3","MWhavoB_8","De sinusfunctie",
"MWhavoB_8.4","MWhavoB_8","De cosinusfunctie",
"MWhavoB_8.5","MWhavoB_8","Uitrekken en krimpen",
"MWhavoB_8.6","MWhavoB_8","Vergelijkingen en ongelijkheden",
"MWhavoB_8.7","MWhavoB_8","Gemengde opdrachten",
