"ID","PID","Titel","Sleutelwoorden"
"MWhavoD_0","0","Moderne Wiskunde havo D1",
"MWhavoD_1","MWhavoD_0","Vectoren",
"MWhavoD_1.1","MWhavoD_1","Een vlak in de ruimte",
"MWhavoD_1.2","MWhavoD_1","Lijnen in de ruimte",
"MWhavoD_1.3","MWhavoD_1","Vectoren",
"MWhavoD_1.4","MWhavoD_1","Vectoren en kengetallen",
"MWhavoD_1.5","MWhavoD_1","Vectorvoorstelling van een lijn",
"MWhavoD_1.6","MWhavoD_1","Coordinaten en vectoren in de ruimte",
"MWhavoD_1.7","MWhavoD_1","Gemengde opdrachten",
"MWhavoD_2","MWhavoD_0","Lijnen en vlakken",
"MWhavoD_2.1","MWhavoD_2","Lijnen in het vlak",
"MWhavoD_2.2","MWhavoD_2","Lijnen in de ruimte",
"MWhavoD_2.3","MWhavoD_2","Vectorvoorstelling van een vlak",
"MWhavoD_2.4","MWhavoD_2","Vergelijking van een vlak",
"MWhavoD_2.5","MWhavoD_2","Ligging van een lijn en een vlak",
"MWhavoD_2.6","MWhavoD_2","Twee vlakken",
"MWhavoD_2.7","MWhavoD_2","Gemengde opdrachten",
"MWhavoD_3","MWhavoD_0","Systematisch tellen",
"MWhavoD_3.1","MWhavoD_3","Boomdiagrammen maken",
"MWhavoD_3.2","MWhavoD_3","Mogelijkheden tellen",
"MWhavoD_3.3","MWhavoD_3","Routes in een rooster",
"MWhavoD_3.4","MWhavoD_3","Kiezen uit twee mogelijkheden",
"MWhavoD_3.5","MWhavoD_3","Tellen in een rooster",
"MWhavoD_3.6","MWhavoD_3","Gemengde opdrachten",
"MWhavoD_4","MWhavoD_0","Kansen",
"MWhavoD_4.1","MWhavoD_4","Theoretische kansen",
"MWhavoD_4.2","MWhavoD_4","Kansen bij de takken",
"MWhavoD_4.3","MWhavoD_4","Kansen berekenen",
"MWhavoD_4.4","MWhavoD_4","Kansen en roosters",
"MWhavoD_4.5","MWhavoD_4","Simuleren van kansen",
"MWhavoD_4.6","MWhavoD_4","Gemengde opdrachten",
"MWhavoD_5","MWhavoD_0","Evenredigheden",
"MWhavoD_5.1","MWhavoD_5","Evenredigheden",
"MWhavoD_5.2","MWhavoD_5","Kwadratische en kubische evenredigheden",
"MWhavoD_5.3","MWhavoD_5","Wortelevenredigheid",
"MWhavoD_5.4","MWhavoD_5","Omgekeerd evenredig",
"MWhavoD_5.5","MWhavoD_5","Gemengde opdrachten",
"MWhavoD_6","MWhavoD_0","Differentieren",
"MWhavoD_6.1","MWhavoD_6","Hellinggrafieken",
"MWhavoD_6.2","MWhavoD_6","Van vermoeden naar bewijs",
"MWhavoD_6.3","MWhavoD_6","Opmerkelijke situaties",
"MWhavoD_6.4","MWhavoD_6","Van de grafiek f' naar de grafiek van f",
"MWhavoD_6.5","MWhavoD_6","De afgeleide van exponentiele functies",
"MWhavoD_6.6","MWhavoD_6","Gemengde opdrachten",
"MWhavoD_7","MWhavoD_0","Statistische verwerking",
"MWhavoD_7.1","MWhavoD_7","Steekproeven",
"MWhavoD_7.2","MWhavoD_7","Statistische gegevens weergeven",
"MWhavoD_7.3","MWhavoD_7","Klassenindeling",
"MWhavoD_7.4","MWhavoD_7","Cumulatieve verdelingen",
"MWhavoD_7.5","MWhavoD_7","Centrummaten",
"MWhavoD_7.6","MWhavoD_7","Spreidingsmaten",
"MWhavoD_7.7","MWhavoD_7","Gemiddelde en standaardafwijking",
"MWhavoD_7.8","MWhavoD_7","Gemengde opdrachten",
"MWhavoD_8","MWhavoD_0","De normale verdeling",
"MWhavoD_8.1","MWhavoD_8","Indeling in klassen",
"MWhavoD_8.2","MWhavoD_8","Klokvormige verdelingen",
"MWhavoD_8.3","MWhavoD_8","Normaal verdeeld?",
"MWhavoD_8.4","MWhavoD_8","Verfijnen",
"MWhavoD_8.5","MWhavoD_8","Percentages berekenen",
"MWhavoD_8.6","MWhavoD_8","De grenswaarde opzoeken",
"MWhavoD_8.7","MWhavoD_8","Onbekend gemiddelde of onbekende standaarddeviatie",
"MWhavoD_8.8","MWhavoD_8","Gemengde opdrachten",
