"ID","PID","Titel","Sleutelwoorden"
"MWvwoA_0","0","Moderne Wiskunde vwo A1",
"MWvwoA_1","MWvwoA_0","Functies en de rekenmachine",
"MWvwoA_1.1","MWvwoA_1","Plotten, schetsen en tekenen",
"MWvwoA_1.2","MWvwoA_1","Soorten grafieken",
"MWvwoA_1.3","MWvwoA_1","Venster instellen",
"MWvwoA_1.4","MWvwoA_1","Randpunten en asymptoten",
"MWvwoA_1.5","MWvwoA_1","Domein en bereik",
"MWvwoA_1.6","MWvwoA_1","Gemengde opdrachten",
"MWvwoA_2","MWvwoA_0","Algebra of rekenmachine",
"MWvwoA_2.1","MWvwoA_2","Oplossen met de rekenmachine",
"MWvwoA_2.2","MWvwoA_2","Oplosssen met algebra",
"MWvwoA_2.3","MWvwoA_2","Kwadratische vergelijkingen met algebra",
"MWvwoA_2.4","MWvwoA_2","Bereken of bereken exact",
"MWvwoA_2.5","MWvwoA_2","Ongelijkheden",
"MWvwoA_2.6","MWvwoA_2","Pijlenkettingen",
"MWvwoA_2.7","MWvwoA_2","Gemengde opdrachten",
"MWvwoA_3","MWvwoA_0","Exponentiele functies",
"MWvwoA_3.1","MWvwoA_3","Exponentiele functies opstellen",
"MWvwoA_3.2","MWvwoA_3","Negatieve en gebroken exponenten",
"MWvwoA_3.3","MWvwoA_3","Rekenen met groeifactoren",
"MWvwoA_3.4","MWvwoA_3","Vergelijkingen en ongelijkheden",
"MWvwoA_3.5","MWvwoA_3","Gemengde opdrachten",
"MWvwoA_4","MWvwoA_0","Machtsfuncties",
"MWvwoA_4.1","MWvwoA_4","Machtsfuncties",
"MWvwoA_4.2","MWvwoA_4","Negatieve exponenten",
"MWvwoA_4.3","MWvwoA_4","Gebroken exponenten",
"MWvwoA_4.4","MWvwoA_4","Vergelijkingen oplossen",
"MWvwoA_4.5","MWvwoA_4","Functies combineren",
"MWvwoA_4.6","MWvwoA_4","Gemengde opdrachten",
"MWvwoA_5","MWvwoA_0","Telproblemen",
"MWvwoA_5.1","MWvwoA_5","Machtsbomen en faculteitsbomen",
"MWvwoA_5.2","MWvwoA_5","Permutaties en combinaties",
"MWvwoA_5.3","MWvwoA_5","Tellen met een rooster",
"MWvwoA_5.4","MWvwoA_5","Kies het goede telmodel",
"MWvwoA_5.5","MWvwoA_5","Gemengde opdrachten",
"MWvwoA_6","MWvwoA_0","Rekenen met kansen",
"MWvwoA_6.1","MWvwoA_6","Kansen",
"MWvwoA_6.2","MWvwoA_6","Kansen berekenen",
"MWvwoA_6.3","MWvwoA_6","Kansen vermenigvuldigen",
"MWvwoA_6.4","MWvwoA_6","Kansen optellen",
"MWvwoA_6.5","MWvwoA_6","Met en zonder terugleggen",
"MWvwoA_6.6","MWvwoA_6","Voorwaardelijke kansen",
"MWvwoA_6.7","MWvwoA_6","Gemengde opdrachten",
"MWvwoA_7","MWvwoA_0","Kansverdelingen",
"MWvwoA_7.1","MWvwoA_7","Frequentieverdelingen",
"MWvwoA_7.2","MWvwoA_7","Stochasten",
"MWvwoA_7.3","MWvwoA_7","Kansverdelingen",
"MWvwoA_7.4","MWvwoA_7","Verwachtingswaarde",
"MWvwoA_7.5","MWvwoA_7","Tennistoernooi",
"MWvwoA_7.6","MWvwoA_7","Gemengde opdrachten",
"MWvwoA_8","MWvwoA_0","Rekenen met matrices",
"MWvwoA_8.1","MWvwoA_8","Grafen",
"MWvwoA_8.2","MWvwoA_8","Matrices",
"MWvwoA_8.3","MWvwoA_8","Directewegenmatrices",
"MWvwoA_8.4","MWvwoA_8","Som- en verschilmatrix",
"MWvwoA_8.5","MWvwoA_8","Matrices vermenigvuldigen",
"MWvwoA_8.6","MWvwoA_8","Matrixproduct",
"MWvwoA_8.7","MWvwoA_8","Gemengde opdrachten",
"MWvwoA_9","MWvwoA_0","Overgangsmatrices",
"MWvwoA_9.1","MWvwoA_9","Overgangsmatrices",
"MWvwoA_9.2","MWvwoA_9","Meerstapswegen",
"MWvwoA_9.3","MWvwoA_9","Terugrekenen",
"MWvwoA_9.4","MWvwoA_9","Stabiele verdeling",
"MWvwoA_9.5","MWvwoA_9","Populatievoorspellingsmatrix",
"MWvwoA_9.6","MWvwoA_9","Gemengde opdrachten",
