"ID","PID","Titel","Sleutelwoorden"
"MWvwoB_0","0","Moderne Wiskunde vwo B1",
"MWvwoB_1","MWvwoB_0","Functies en de rekenmachine",
"MWvwoB_1.1","MWvwoB_1","Plotten, schetsen en tekenen",
"MWvwoB_1.2","MWvwoB_1","Soorten grafieken",
"MWvwoB_1.3","MWvwoB_1","Venster instellen",
"MWvwoB_1.4","MWvwoB_1","Randpunten en asymptoten",
"MWvwoB_1.5","MWvwoB_1","Domein en bereik",
"MWvwoB_1.6","MWvwoB_1","Gemengde opdrachten",
"MWvwoB_2","MWvwoB_0","Algebra of rekenmachine",
"MWvwoB_2.1","MWvwoB_2","Oplossen met de rekenmachine",
"MWvwoB_2.2","MWvwoB_2","Oplossen met algebra",
"MWvwoB_2.3","MWvwoB_2","Bereken of bereken exact",
"MWvwoB_2.4","MWvwoB_2","Ongelijkheden",
"MWvwoB_2.5","MWvwoB_2","Wortelvergelijkingen oplossen",
"MWvwoB_2.6","MWvwoB_2","Gemengde opdrachten",
"MWvwoB_3","MWvwoB_0","Exponentiele functies",
"MWvwoB_3.1","MWvwoB_3","Grafieken en exponentiele functies",
"MWvwoB_3.2","MWvwoB_3","Negatieve en gebroken exponenten",
"MWvwoB_3.3","MWvwoB_3","Rekenen met machten",
"MWvwoB_3.4","MWvwoB_3","Grafieken en exponentiele ongelijkheden",
"MWvwoB_3.5","MWvwoB_3","Functies anders schrijven",
"MWvwoB_3.6","MWvwoB_3","Gemengde opdrachten",
"MWvwoB_4","MWvwoB_0","Machtsfuncties",
"MWvwoB_4.1","MWvwoB_4","Machtsfuncties",
"MWvwoB_4.2","MWvwoB_4","Negatieve exponenten",
"MWvwoB_4.3","MWvwoB_4","Gebroken exponenten",
"MWvwoB_4.4","MWvwoB_4","Exact oplossen",
"MWvwoB_4.5","MWvwoB_4","Som en verschil van machtsfuncties",
"MWvwoB_4.6","MWvwoB_4","Gemengde opdrachten",
"MWvwoB_5","MWvwoB_0","Definities en stellingen",
"MWvwoB_5.1","MWvwoB_5","Gelijkvormigheid",
"MWvwoB_5.2","MWvwoB_5","Stellingen en definities",
"MWvwoB_5.3","MWvwoB_5","Congruente driehoeken",
"MWvwoB_5.4","MWvwoB_5","Een bewijs aanpakken",
"MWvwoB_5.5","MWvwoB_5","Gelijkwaardige definities",
"MWvwoB_5.6","MWvwoB_5","Vermoeden en bewijzen",
"MWvwoB_5.7","MWvwoB_5","Met de computer",
"MWvwoB_5.8","MWvwoB_5","Gemengde opdrachten",
"MWvwoB_6","MWvwoB_0","Werken met algebra",
"MWvwoB_6.1","MWvwoB_6","Oplossen door ontbinden",
"MWvwoB_6.2","MWvwoB_6","Algebra met breuken",
"MWvwoB_6.3","MWvwoB_6","Rekenen met wortels",
"MWvwoB_6.4","MWvwoB_6","Stelsels vergelijkingen",
"MWvwoB_6.5","MWvwoB_6","Gelijkwaardige formules",
"MWvwoB_6.6","MWvwoB_6","Meetkundige toepassingen",
"MWvwoB_6.7","MWvwoB_6","Gemengde opdrachten",
"MWvwoB_7","MWvwoB_0","Periodieke functies",
"MWvwoB_7.1","MWvwoB_7","Periodieke beweging",
"MWvwoB_7.2","MWvwoB_7","Eigenschappen van sinusoiden",
"MWvwoB_7.3","MWvwoB_7","Vergelijkingen oplossen",
"MWvwoB_7.4","MWvwoB_7","Verschuiven en vervormen",
"MWvwoB_7.5","MWvwoB_7","Algemene vorm van een sinusoide",
"MWvwoB_7.6","MWvwoB_7","Gemengde opdrachten",
"MWvwoB_8","MWvwoB_0","De afgeleide",
"MWvwoB_8.1","MWvwoB_8","Toenamediagrammen",
"MWvwoB_8.2","MWvwoB_8","Gemiddelde verandering",
"MWvwoB_8.3","MWvwoB_8","Hellingen benaderen",
"MWvwoB_8.4","MWvwoB_8","Hellingen exact",
"MWvwoB_8.5","MWvwoB_8","De afgeleide functie",
"MWvwoB_8.6","MWvwoB_8","Differentieren",
"MWvwoB_8.7","MWvwoB_8","Machtsfuncties en raaklijnen",
"MWvwoB_8.8","MWvwoB_8","Gemengde opdrachten",
