"ID","PID","Titel","Sleutelwoorden"
"NBC_31","0","Nederlandse Basis Classificatie",
"NBC_31.00","NBC_31","Wiskunde: algemeen",
"NBC_31.01","NBC_31","Geschiedenis van de wiskunde",
"NBC_31.02","NBC_31","Filosofie en theorie van de wiskunde",
"NBC_31.04","NBC_31","Onderwijs, beroepsuitoefening, organisaties",
"NBC_31.10","NBC_31","Logica, verzamelingsleer",
"NBC_31.11","NBC_31","Geordende algebra, algemene mathematische systemen",
"NBC_31.12","NBC_31","Combinatoriek",
"NBC_31.14","NBC_31","Getallentheorie",
"NBC_31.20","NBC_31","Algebra: algemeen",
"NBC_31.21","NBC_31","Groepentheorie",
"NBC_31.23","NBC_31","Ringen, algebra's",
"NBC_31.24","NBC_31","Lichamen, polynomen",
"NBC_31.25","NBC_31","Lineaire algebra, multilineaire algebra",
"NBC_31.27","NBC_31","Categorietheorie",
"NBC_31.29","NBC_31","Algebra: overige",
"NBC_31.30","NBC_31","Topologische groepen, Liegroepen",
"NBC_31.30","NBC_31","Topologische groepen, Liegroepen",
"NBC_31.35","NBC_31","Harmonische analyse",
"NBC_31.40","NBC_31","Analyse: algemeen",
"NBC_31.41","NBC_31","Reele analyse",
"NBC_31.42","NBC_31","Functies van een complexe variabele",
"NBC_31.43","NBC_31","Functies van meerdere complexe variabelen",
"NBC_31.44","NBC_31","Gewone differentiaalvergelijkingen",
"NBC_31.45","NBC_31","Partiele differentiaalvergelijkingen",
"NBC_31.46","NBC_31","Functionaalanalyse",
"NBC_31.48","NBC_31","Variatierekening",
"NBC_31.49","NBC_31","Analyse: overige",
"NBC_31.50","NBC_31","Meetkunde: algemeen",
"NBC_31.51","NBC_31","Algebraische meetkunde",
"NBC_31.52","NBC_31","Differentaalmeetkunde",
"NBC_31.55","NBC_31","Globale analyse",
"NBC_31.55","NBC_31","Globale analyse",
"NBC_31.59","NBC_31","Meetkunde: overige",
"NBC_31.60","NBC_31","Topologie: algemeen",
"NBC_31.61","NBC_31","Algebraische topologie",
"NBC_31.65","NBC_31","Varieteiten, celcomplexen",
"NBC_31.65","NBC_31","Varieteiten, celcomplexen",
"NBC_31.69","NBC_31","Topologie: overige",
"NBC_31.70","NBC_31","Waarschijnlijkheidsrekening",
"NBC_31.73","NBC_31","Mathematische statistiek",
"NBC_31.76","NBC_31","Numerieke analyse",
"NBC_31.80","NBC_31","Toepassingen van de wiskunde",
"NBC_31.81","NBC_31","Mathematische fysica",
"NBC_31.99","NBC_31","Wiskunde: overige",
