"ID","PID","Titel","Sleutelwoorden"
"RO_0","0","Raaklijn en Oppervlakte (Gerretsen)",
"RO_1","RO_0","Functies",
"RO_1.1","RO_1","De getallenrechte",
"RO_1.2","RO_1","Ordening der reele getallen",
"RO_1.3","RO_1","Variabelen",
"RO_1.4","RO_1","Functies",
"RO_1.5","RO_1","Grafische voorstellingen",
"RO_1.6","RO_1","Het rekenen met functies",
"RO_1.7","RO_1","Samengestelde functies",
"RO_1.8","RO_1","De inverse van een functie",
"RO_2","RO_0","Elementaire functies",
"RO_2.1","RO_2","De macht van een variabele",
"RO_2.10","RO_2","De oppervlaktefunctie",
"RO_2.11","RO_2","De natuurlijke logarithme",
"RO_2.12","RO_2","De exponentiele functie",
"RO_2.13","RO_2","Machten met reele exponenten",
"RO_2.14","RO_2","Logarithmen met een grondtal",
"RO_2.15","RO_2","Hyperbolische functies",
"RO_2.2","RO_2","Veeltermen",
"RO_2.3","RO_2","De stelling van Euclides",
"RO_2.4","RO_2","Rationale functies",
"RO_2.5","RO_2","De cirkelfuncties",
"RO_2.6","RO_2","De optellingstheorema's",
"RO_2.7","RO_2","De getallenvariabele op een cirkelomtrek",
"RO_2.8","RO_2","De cyclometrische functies",
"RO_2.9","RO_2","De oppervlakte van een hyperbooltrapezium",
"RO_3","RO_0","De afgeleide van een functie",
"RO_3.1","RO_3","De hellingfunctie",
"RO_3.10","RO_3","De afgeleide van de inverse van een functie",
"RO_3.11","RO_3","De differentiaal van een functie",
"RO_3.12","RO_3","Differentiaalrekening",
"RO_3.2","RO_3","De afgeleide functie",
"RO_3.3","RO_3","De somregel en de productregel",
"RO_3.4","RO_3","De afgeleide van de logarithmische en de exponentiele functie",
"RO_3.5","RO_3","De kettingregel",
"RO_3.6","RO_3","Continuiteit",
"RO_3.7","RO_3","De quotientregel",
"RO_3.8","RO_3","De afgeleiden van de cirkelfuncties",
"RO_3.9","RO_3","Hogere afgeleiden",
"RO_4","RO_0","Onbepaalde integralen",
"RO_4.1","RO_4","De primitieve functie",
"RO_4.2","RO_4","De onbepaalde integraal",
"RO_4.3","RO_4","De substitutieregel",
"RO_4.4","RO_4","Partiele integratie",
"RO_4.5","RO_4","Integratie van rationale functies",
"RO_4.6","RO_4","De lineaire differentiaalvergelijking van de eerste orde",
"RO_5","RO_0","Locale eigenschappen van functies",
"RO_5.1","RO_5","Locaal stijgen en dalen",
"RO_5.2","RO_5","Convexiteit en buigpunten",
"RO_5.3","RO_5","Het theorema van Rolle",
"RO_5.4","RO_5","Monotoniestellingen",
"RO_5.5","RO_5","De benaderingsmethode van Newton",
"RO_5.6","RO_5","Reeksontwikkeling voor de logarithme",
"RO_5.7","RO_5","Reeksontwikkeling voor de arcus tangens",
"RO_5.8","RO_5","Uitbreiding van de middelwaardestelling",
"RO_5.9","RO_5","Raking van krommen",
"RO_6","RO_0","De bepaalde integraal",
"RO_6.1","RO_6","De oppervlakte van een kromlijnig trapezium",
"RO_6.2","RO_6","De bepaalde integraal",
"RO_6.3","RO_6","De hoofdregels",
"RO_6.4","RO_6","Partiele integratie",
"RO_6.5","RO_6","Monotoniestellingen",
"RO_6.6","RO_6","De stelling van Stirling",
"RO_6.7","RO_6","Oneindig integratie-interval",
"RO_6.8","RO_6","Fourier-coefficienten",
"RO_6.9","RO_6","De integraal van Dirichlet",
"RO_7","RO_0","De transformatie van Laplace",
"RO_7.1","RO_7","De integraal van Laplace",
"RO_7.2","RO_7","Algebraische rekenregels",
"RO_7.3","RO_7","De getransformeerde van de afgeleide en de integraal van een functie",
"RO_7.4","RO_7","De inverse transformatie",
"RO_7.5","RO_7","Lineaire differentiaalvergelijkingen met constante",
"RO_7.6","RO_7","Het compositieproduct",
"RO_7.7","RO_7","De gammafunctie",
"RO_7.8","RO_7","De betafunctie",
"RO_7.9","RO_7","De verdubbelingsfunctie en de formule der complementen",
