"ID","PID","Titel","Sleutelwoorden"
"WW_0","0","Wiswijs (van Wisbrun & Pach)",
"WW_1","WW_0","Natuurlijke getallen, breuken",
"WW_1.0","WW_1","Inleiding",
"WW_1.1","WW_1","Natuurlijke getallen",
"WW_1.2","WW_1","Breuken",
"WW_1.3","WW_1","Rekenen met letters",
"WW_1.4","WW_1","Samenvatting",
"WW_1.5","WW_1","Opgaven",
"WW_2","WW_0","Gehele getallen, rationale getallen",
"WW_2.0","WW_2","Inleiding",
"WW_2.1","WW_2","Machtsverheffen, worteltrekken",
"WW_2.2","WW_2","De gehele getallen",
"WW_2.3","WW_2","De rationale getallen",
"WW_2.4","WW_2","Voorrangsregels",
"WW_2.5","WW_2","Samenvatting",
"WW_2.6","WW_2","Opgaven",
"WW_3","WW_0","Reele getallen",
"WW_3.0","WW_3","Inleiding",
"WW_3.1","WW_3","Introductie van reele getallen",
"WW_3.2","WW_3","Intervallen",
"WW_3.3","WW_3","Bewerkingen met reele getallen",
"WW_3.4","WW_3","Manipuleren met wortelvormen",
"WW_3.5","WW_3","Wortels en negatieve getallen",
"WW_3.6","WW_3","Samenvatting",
"WW_3.7","WW_3","Opgaven",
"WW_4","WW_0","Eerstegraads vergelijkingen en ongelijkheden",
"WW_4.0","WW_4","Inleiding",
"WW_4.1","WW_4","Open beweringen",
"WW_4.2","WW_4","Eerstegraads vergelijkingen met een variabele",
"WW_4.3","WW_4","Eerstegraads ongelijkheden met een variabele",
"WW_4.4","WW_4","Stelsels van twee eerstegraads vergelijkingen met twee variabelen",
"WW_4.5","WW_4","Samenvatting",
"WW_4.6","WW_4","Opgaven",
"WW_5","WW_0","Functies en grafieken",
"WW_5.0","WW_5","Inleiding",
"WW_5.1","WW_5","Functies",
"WW_5.2","WW_5","Het rechthoekig assenstelsel",
"WW_5.3","WW_5","Grafieken",
"WW_5.4","WW_5","Samenvatting",
"WW_5.5","WW_5","Opgaven",
"WW_6","WW_0","Eerstegraads functies en hun grafieken",
"WW_6.0","WW_6","Inleiding",
"WW_6.1","WW_6","Eerstegraads functies en constante functies",
"WW_6.2","WW_6","Richtingscoefficient en helling",
"WW_6.3","WW_6","Van grafiek naar vergelijking",
"WW_6.4","WW_6","Van vergelijking naar grafiek",
"WW_6.5","WW_6","Het snijpunt van twee grafieken",
"WW_6.6","WW_6","Eerstegraads ongelijkheden grafisch oplossen",
"WW_6.7","WW_6","Samenvatting",
"WW_6.8","WW_6","Opgaven",
"WW_7","WW_0","Tweedegraads functies en hun grafieken",
"WW_7.0","WW_7","Inleiding",
"WW_7.1","WW_7","Tweedegraads functies en hun grafieken",
"WW_7.2","WW_7","Snijpunten met de x-as",
"WW_7.3","WW_7","De abc-formule",
"WW_7.4","WW_7","Snijpunt van een parabool en een rechte lijn of van twee parabolen; tweedegraads vergelijkingen",
"WW_7.5","WW_7","Tweedegraads ongelijkheden",
"WW_7.6","WW_7","Samenvatting",
"WW_7.7","WW_7","Opgaven",
"WW_8","WW_0","Nog meer functies en grafieken",
"WW_8.0","WW_8","Inleiding",
"WW_8.1","WW_8","Manieren om een verband weer te geven",
"WW_8.2","WW_8","Allerlei functies",
"WW_8.3","WW_8","Inverse functies",
"WW_8.4","WW_8","Functies combineren",
"WW_8.5","WW_8","Samenvatting",
"WW_8.6","WW_8","Opgaven",
"WW_9","WW_0","Wiskunde gebruiken",
"WW_9.0","WW_9","Inleiding",
"WW_9.1","WW_9","Tabel, grafiek, werkelijkheid",
"WW_9.2","WW_9","Vormgeving van grafieken",
"WW_9.3","WW_9","Wat vertellen grafieken?",
"WW_9.4","WW_9","Vertalen",
"WW_9.5","WW_9","Tabellen, grafieken en formules",
"WW_9.6","WW_9","Modelleren",
"WW_9.7","WW_9","Samenvatting",
"WW_9.8","WW_9","Opgaven",
"WW_A","WW_0","Algebra",
"WW_A.0","WW_A","Inleiding",
"WW_A.1","WW_A","Opnieuw de verdeeleigenschap",
"WW_A.2","WW_A","Vergelijkingen splitsen",
"WW_A.3","WW_A","Vergelijkingen oplossen door vereenvoudigen",
"WW_A.4","WW_A","Tweedegraads vergelijkingen en de abc-formule",
"WW_A.5","WW_A","Samenvatting",
"WW_A.6","WW_A","Opgaven",
"WW_B","WW_0","Machten en logaritmen",
"WW_B.0","WW_B","Inleiding",
"WW_B.1","WW_B","Machten met negatieve exponenten en met exponent nul",
"WW_B.2","WW_B","Machten met niet-gehele exponenten",
"WW_B.3","WW_B","Exponentiele functies",
"WW_B.4","WW_B","Logaritmen en logaritmische functies",
"WW_B.5","WW_B","Rekenen met machten en logaritmen",
"WW_B.6","WW_B","Samenvatting",
"WW_B.7","WW_B","Opgaven",
"WW_C","WW_0","Differentieren",
"WW_C.0","WW_C","Inleiding",
"WW_C.1","WW_C","De helling van een grafiek; verandering van functiewaarde",
"WW_C.2","WW_C","Differentieren van enkelvoudige functies",
"WW_C.3","WW_C","Differentieren van eenvoudige combinaties van functies",
"WW_C.4","WW_C","De kettingregel",
"WW_C.5","WW_C","De productregel en de quotientregel",
"WW_C.6","WW_C","Differentieren van exponentiele en logaritmische functies",
"WW_C.7","WW_C","Stijgen en dalen; maxima en minima",
"WW_C.8","WW_C","Samenvatting",
"WW_C.9","WW_C","Opgaven",
